PID,Title,Creator,Abstract/Description,Date Issued,Identifier,Format
fsu:207172,"""Free to All"": Library Publishing and the Challenge of Open Access.","Vandegrift, Micah, Bolick, Josh","There is a significant and important responsibility as libraries move into the role of publishing to retain our heritage of ""access for all."" Connecting and collaborating with colleagues in the publishing industry is essential, but should come with the understanding that the library as an organization is access-prone. This article discusses the complexities of navigating that relationship, and calls for libraries and publishers to embrace and respect the position from which we begin. Finally, the article forecasts several possible characteristics of what ""publishing"" might look like if libraries press the principle of access in this growing area.",2014,"FSU_migr_library_faculty_publications-0011, 10.6084/m9.figshare.1088945",Citation
fsu:205365,"The ""FSU Lives"" Digitization Project.","Morris, Sammie, Smith, Plato",FSU Libraries Special Collections and Digital Library Center collaborated on development this presentation highlighting FSU Lives Class of 1955 digitization project along with digital preservation of faculty research as part of a guest lecture for Florida State University College of Communication & Information Spring 2011 Digital Libraries course (LIS5472) taught by Dr. Sanghee Oh.,2011,FSU_migr_digital_lib-0013,Citation
fsu:205360,4th International Digital Curation Conference - Minute Madness: Poster Session (slide # 8).,"Smith, Plato","This poster session will use text, diagrams, and images to display the development of the application of The DCC Curation Lifecycle Model practices to preservation of Diatomscapes. Diatomscapes represents a collection of images of biological silica and includes diatoms (""microscopic, single-celled plants that thrive in freshwater, saltwater, brackish water and even semi-terrestrial environments"" (Prasad, 2005)) and Radiolarians (""any of various marine protozoans of the order Radiolaria, having rigid siliceous skeletons and spicules"" (Dictionary, 2008)).",2008,FSU_migr_digital_lib-0002,Citation
fsu:252673,Academic Librariesâ€”Measuring Up: Assessment and Collaboration for Student Success.,"Besara, Rachel, Kinsley, Kirsten Michele","Purpose: This paper aims to describe how the Florida State University Libraries used assessment data with other campus partners to gain funding and resources for new initiatives. When general funding sources were threatened, alternative funding sources from these campus partners were used to jumpâ€êstart new initiatives designed to enhance student success. Design/methodology/approach â€“ This paper is a case study of how assessment data fueled the creation of a new lateâ€ênight peerâ€êtutoring program at the Florida State University Libraries. The three main data conduits that inspired a new tutoring program were: an ethnographic study of undergraduate students, undergraduate courses with high failure/high enrolment/high drop rates, and an environmental scan of existing campus tutoring. Findings: â€“ Sharing assessment data with key partners can leverage funding and resources for new initiatives. Social implications: In hard budgetary times, opportunities for funding and resources may arise when shared values between campus constituencies are met with assessment data. Libraries need to take a leadership role in gathering and sharing those data with other campus constituents in order to place libraries in a strategic position to receive alternative funding for shared initiatives. Originality/value: Other libraries may use this case as a model, sharing their assessment results with the campus community, especially with those campus constituencies where there is a relationship already in place, to garner further support for piloting innovative services.",2011,"FSU_migr_library_faculty_publications-0020, 10.1108/03074801111182012",Citation
fsu:254551,Access and Use Issues in Creating Collection Development and Management Policies: The Library/Archives Point of View.,"Altman, Burt","Access and Use Issues in Creating Collection and Management Policies: The Library/Archives Point of View"" discusses the importance of documentation in collection development and management policies for access to research materials in archives and special collections. These topics include repository responsibility, restrictions, fees and services, and citations; and (2) resource sharing statements for libraries and archives such as cooperative collection development, interlibrary loan, and exhibition loan. Guidelines for borrowing and lending institutions are covered, in addition to the values of exhibit loan policies for Special Collections. There is also a link to examples of a general facility report, a condition report, and an exhibition loan agreement form.",2013,FSU_migr_sca-0018,Citation
fsu:371257,Acquisitions Everywhere: Modeling an Acquisitions Data Standard to Connect a Distributed Environment.,"Hanson, Eric M., Lightcap, Paul W., Miguez, Matthew R.","Acquisitions functions remain operationally crucial in providing access to paid information resources, but data formats and workflows utilized within library acquisitions remain primarily within the traditional integrated library system (ILS). As libraries have evolved to use distributed systems to manage information resources, so too must acquisitions functions adapt to an environment that may include the ILS, eâ€êresource management systems (ERMS), institutional repositories (IR), and other digital asset management systems (DAMS). This presentation is intended to articulate a vision for applying standardsâ€êbased practiceâ€”as already employed for resource descriptionâ€”to acquisitions functions in a variety of metadata schema and systems. Utilization of standards will be demonstrated in the proposal of a core acquisitions element set that can exist in any system, with proofs of concept including demonstration of the element set within MODS, JSON, and how it may be reflected within the ILS and ERMS. Building on these proofs of concept in recording interoperable acquisitions data will be an explanation of possible applications, including an exploration of more robust support for semantic web technologies. In particular, this presentation will explore how this element set could utilize published linked datasets, such as the North Carolina State University Organization Name Linked Data and Global Open Knowledgebase (GOKb) linked data service, to provide more accurate and efficient identity management.",10/17/16,"FSU_libsubv1_scholarship_submission_1476791944, 10.5703/1288284316250",Citation
fsu:252675,Apps for Assessment: A Starting Point.,"Besara, Rachel","Many mobile applications, also known as apps, are excellent instruments for gathering qualitative and quantitative data. This article is a starting point for those interested in gathering assessment data using mobile tools and provides assessment app type overviews and examples. With relatively little effort, libraries can take advantage of mobile apps and gather compelling assessment data more easily than ever before.",2012,"FSU_migr_library_faculty_publications-0022, 10.1080/02763877.2012.678791",Citation
fsu:388899,Automating Controlled Subjects from IR Keywords.,"Miguez, Matthew","When moving from a proprietary and hosted IR solution to a local and open one, an intense migration schedule necessitated some time saving measures and ETD and faculty publications were moved with only submitter-assigned keywords. After seeing the reduction of controlled subject access points, FSUâ€™s Digital Library Center developed a python script using direct matches between the submitted keywords and subject headings in LCâ€™s linked data service to add subject elements to MODS records. Safely in post-migration, FSU Libraries can retroactively and automatically provide controlled subject access and linked data URIs to IR materials and integrate the script into the submission workflow for improved access to future materials.",1/24/17,FSU_libsubv1_scholarship_submission_1485289740,Citation
fsu:254543,Basic Preservation of Family Records.,"Altman, Burt",,2007,FSU_migr_sca-0010,Citation
fsu:207167,Building a donor base for college and university libraries: Exploiting archives as a foundation for development.,"Woodward, Eddie","<p id=""x-x-p-1"">In today's economic environment, there are pressures to fundraise throughout all of the academic units at colleges and universities, including libraries. Unfortunately, however, there is no natural constituency for the academic library. While the library may have been instrumental in their successful academic career, alumni more often than not, feel no loyalty to it, as they might to their department, school, college, or even sports team. The school library, which may have served as the important cog in their academic success, is taken for granted in its apparent supporting role. <p id=""x-x-p-2"">Until recently, solidifying a donor base was of little consequence to the academic library; college and university libraries got by with minimal fundraising, often assisted by friends groups that provide financial support via annual membership fees and occasional fundraising events. College and university libraries friends groups are frequently made up of current and retired faculty and librarians, who understand the important role of the campus library. The trick for academic libraries in the current economy is to bring in new life and new blood in support of the library. <p id=""x-x-p-3"">A key to this concept is to connect the interests of potential donors with the goals and objectives of the library. Current and retired faculty and library staff understand the importance of the library and its mission; but how can the library communicate its mission in a way that attracts alumni and other community supporters?",2013,FSU_migr_library_faculty_publications-0005,Citation
